"Fecha","CHTR.Open","CHTR.High","CHTR.Low","CHTR.Close","CHTR.Volume","CHTR.Adjusted"
2013-11-01,134.699996948242,138.199996948242,134.089996337891,138.070007324219,1108400,138.070007324219
2013-11-04,139.139999389648,139.139999389648,134.580001831055,135.770004272461,536700,135.770004272461
2013-11-05,135.979995727539,135.979995727539,129.559997558594,131.059997558594,1586000,131.059997558594
2013-11-06,130.940002441406,131.330001831055,128.199996948242,128.919998168945,1536400,128.919998168945
2013-11-07,129.059997558594,129.649993896484,126.25,127.470001220703,1302200,127.470001220703
2013-11-08,127.599998474121,128.910003662109,126.930000305176,128.059997558594,933600,128.059997558594
2013-11-11,127.930000305176,128.199996948242,125.680000305176,127.040000915527,772300,127.040000915527
2013-11-12,127,128.649993896484,126.059997558594,128.460006713867,798000,128.460006713867
2013-11-13,127.330001831055,128.850006103516,126.51000213623,128.759994506836,485000,128.759994506836
2013-11-14,129,129.029998779297,127.76000213623,128.070007324219,513300,128.070007324219
2013-11-15,128.429992675781,129.050003051758,127.900001525879,128.690002441406,740700,128.690002441406
2013-11-18,129.330001831055,130.75,128.699996948242,129.539993286133,942600,129.539993286133
2013-11-19,129.610000610352,130.309997558594,128.860000610352,129.070007324219,808800,129.070007324219
2013-11-20,129,129.75,126.75,126.959999084473,735300,126.959999084473
2013-11-21,127.01000213623,128.020004272461,126.300003051758,126.959999084473,645500,126.959999084473
2013-11-22,131,134.979995727539,126.800003051758,134.660003662109,3642700,134.660003662109
2013-11-25,135.169998168945,136.389999389648,133.339996337891,134.289993286133,751700,134.289993286133
2013-11-26,134.089996337891,137.410003662109,133.119995117188,136.119995117188,1180000,136.119995117188
2013-11-27,136.039993286133,136.589996337891,133.240005493164,134.979995727539,1765900,134.979995727539
2013-11-29,136.229995727539,136.229995727539,134.259994506836,135.100006103516,660500,135.100006103516
2013-12-02,134.839996337891,135.539993286133,132.460006713867,132.720001220703,1126700,132.720001220703
2013-12-03,132.100006103516,132.710006713867,128.690002441406,129.309997558594,1144100,129.309997558594
2013-12-04,128.699996948242,130.380004882812,127.349998474121,129.429992675781,990000,129.429992675781
2013-12-05,129.100006103516,129.770004272461,126.480003356934,127.269996643066,1183800,127.269996643066
2013-12-06,129.449996948242,129.970001220703,126.959999084473,127.75,938100,127.75
2013-12-09,127.800003051758,128.25,126.309997558594,128.160003662109,964100,128.160003662109
2013-12-10,128.380004882812,132.960006713867,128.25,131.75,1353500,131.75
2013-12-11,132.050003051758,132.770004272461,130.240005493164,130.820007324219,686500,130.820007324219
2013-12-12,130.589996337891,132.639999389648,130.589996337891,131.990005493164,665200,131.990005493164
2013-12-13,132.75,135.860000610352,130.990005493164,131.539993286133,2305100,131.539993286133
2013-12-16,131.110000610352,132.330001831055,130.580001831055,131.360000610352,1023500,131.360000610352
2013-12-17,131.880004882812,131.919998168945,129.970001220703,130.110000610352,1000800,130.110000610352
2013-12-18,130.509994506836,130.899993896484,128.649993896484,130.339996337891,643200,130.339996337891
2013-12-19,129.740005493164,130.910003662109,128.229995727539,129.119995117188,986300,129.119995117188
2013-12-20,129.539993286133,131.009994506836,128.850006103516,130.020004272461,1140200,130.020004272461
2013-12-23,130.770004272461,131.440002441406,129.440002441406,131.399993896484,329600,131.399993896484
2013-12-24,131.119995117188,132.889999389648,129.949996948242,132.270004272461,251800,132.270004272461
2013-12-26,132.270004272461,132.619995117188,131.169998168945,132.160003662109,291900,132.160003662109
2013-12-27,132.330001831055,134.190002441406,131.440002441406,133.5,428100,133.5
2013-12-30,133.830001831055,135.100006103516,132.710006713867,134.179992675781,367600,134.179992675781
2013-12-31,134.059997558594,136.759994506836,134.059997558594,136.759994506836,454700,136.759994506836
2014-01-02,137.149993896484,137.679992675781,134.479995727539,134.759994506836,1119900,134.759994506836
2014-01-03,134.860000610352,135.300003051758,133.020004272461,133.369995117188,678500,133.369995117188
2014-01-06,133.990005493164,137.020004272461,133.75,135,660500,135
2014-01-07,135.259994506836,138.25,135.130004882812,138.080001831055,1026300,138.080001831055
2014-01-08,137.919998168945,138.279998779297,135.919998168945,136.089996337891,941900,136.089996337891
2014-01-09,136.330001831055,136.990005493164,135.149993896484,136.009994506836,1095200,136.009994506836
2014-01-10,136.339996337891,137.25,135,136.419998168945,786600,136.419998168945
2014-01-13,135.929992675781,136.380004882812,133.479995727539,134.220001220703,914700,134.220001220703
2014-01-14,134.839996337891,137.630004882812,134.130004882812,137.339996337891,1763500,137.339996337891
2014-01-15,137.5,137.899993896484,134.949996948242,136.039993286133,1375600,136.039993286133
2014-01-16,136.259994506836,137.399993896484,132.440002441406,134.960006713867,938700,134.960006713867
2014-01-17,134.559997558594,135.520004272461,134,134.289993286133,985200,134.289993286133
2014-01-21,134.289993286133,135.190002441406,133.190002441406,133.5,1161400,133.5
2014-01-22,133.539993286133,135.149993896484,132.600006103516,135,629400,135
2014-01-23,134.580001831055,134.729995727539,133.110000610352,133.460006713867,722200,133.460006713867
2014-01-24,132.410003662109,133.559997558594,130.580001831055,131.419998168945,1314000,131.419998168945
2014-01-27,131.309997558594,140.740005493164,131.309997558594,136.919998168945,4419800,136.919998168945
2014-01-28,137.850006103516,139.460006713867,136.339996337891,136.649993896484,1203900,136.649993896484
2014-01-29,135.869995117188,138.949996948242,135.270004272461,138.240005493164,3020200,138.240005493164
2014-01-30,138.460006713867,139.779998779297,137.429992675781,138.770004272461,1301000,138.770004272461
2014-01-31,137.100006103516,138.720001220703,136.839996337891,137,1355000,137
2014-02-03,137.729995727539,140.240005493164,135.020004272461,136.119995117188,1477200,136.119995117188
2014-02-04,136.850006103516,139.320007324219,136.149993896484,138.860000610352,1860100,138.860000610352
2014-02-05,138.75,138.800003051758,136.949996948242,137.350006103516,802700,137.350006103516
2014-02-06,138.199996948242,138.690002441406,136.410003662109,136.5,1443200,136.5
2014-02-07,137.130004882812,138.550003051758,136.820007324219,137.5,2632500,137.5
2014-02-10,137.960006713867,138.229995727539,137.279998779297,137.619995117188,1699300,137.619995117188
2014-02-11,137.509994506836,139.449996948242,137.009994506836,137.899993896484,1814800,137.899993896484
2014-02-12,138.300003051758,139.130004882812,137.139999389648,137.570007324219,1664900,137.570007324219
2014-02-13,124.940002441406,130,124.76000213623,128.910003662109,9910600,128.910003662109
2014-02-14,128.710006713867,129.410003662109,126.75,129.350006103516,2924000,129.350006103516
2014-02-18,128.339996337891,133.009994506836,128.339996337891,131.5,1617200,131.5
2014-02-19,131.130004882812,131.990005493164,129,130.440002441406,2774200,130.440002441406
2014-02-20,130.850006103516,133.179992675781,130.580001831055,131.839996337891,1592500,131.839996337891
2014-02-21,132.020004272461,132.020004272461,124,125.080001831055,5432300,125.080001831055
2014-02-24,125,127.059997558594,122.5,123.580001831055,3138200,123.580001831055
2014-02-25,123.370002746582,123.959999084473,120.5,121.339996337891,2933900,121.339996337891
2014-02-26,121.76000213623,122.370002746582,120.860000610352,121.25,2090700,121.25
2014-02-27,121.790000915527,124.440002441406,121.5,124.139999389648,1335600,124.139999389648
2014-02-28,124.069999694824,127.089996337891,124.019996643066,126.769996643066,2532900,126.769996643066
2014-03-03,125.400001525879,125.690002441406,122.300003051758,125.690002441406,1535400,125.690002441406
2014-03-04,126.190002441406,128.330001831055,125.550003051758,128.220001220703,1912500,128.220001220703
2014-03-05,128.399993896484,129.610000610352,126.860000610352,127.410003662109,1858800,127.410003662109
2014-03-06,127.099998474121,128.080001831055,125.809997558594,126.639999389648,1580300,126.639999389648
2014-03-07,128.660003662109,128.990005493164,125.470001220703,127,1838600,127
2014-03-10,128.270004272461,129.75,126.180000305176,128.539993286133,1100900,128.539993286133
2014-03-11,128.199996948242,129.149993896484,127.360000610352,127.73999786377,1181700,127.73999786377
2014-03-12,127.220001220703,128.820007324219,126,127.269996643066,912000,127.269996643066
2014-03-13,127.400001525879,127.400001525879,125.050003051758,125.720001220703,687400,125.720001220703
2014-03-14,126.5,127.680000305176,125.970001220703,127,919200,127
2014-03-17,127.800003051758,128.259994506836,126,126.48999786377,713900,126.48999786377
2014-03-18,126.660003662109,128.050003051758,125.800003051758,125.98999786377,831200,125.98999786377
