"Fecha","CNC.Open","CNC.High","CNC.Low","CNC.Close","CNC.Volume","CNC.Adjusted"
2013-11-01,13.9899997711182,14.085000038147,13.7849998474121,14,5251600,14
2013-11-04,14.0699996948242,14.5200004577637,14.0550003051758,14.4825000762939,3772800,14.4825000762939
2013-11-05,14.4125003814697,14.4700002670288,14.2600002288818,14.3424997329712,1847600,14.3424997329712
2013-11-06,14.4925003051758,14.5249996185303,14.2075004577637,14.3074998855591,1210400,14.3074998855591
2013-11-07,14.3325004577637,14.3874998092651,13.7574996948242,13.8999996185303,3449600,13.8999996185303
2013-11-08,13.8725004196167,14.2449998855591,13.8725004196167,14.1975002288818,2056400,14.1975002288818
2013-11-11,14.1724996566772,14.375,14.1300001144409,14.3599996566772,1558400,14.3599996566772
2013-11-12,14.3549995422363,14.3549995422363,14.0775003433228,14.2250003814697,1141600,14.2250003814697
2013-11-13,14.2674999237061,14.5299997329712,14.1724996566772,14.4975004196167,1794400,14.4975004196167
2013-11-14,14.4624996185303,14.5649995803833,14.3675003051758,14.4449996948242,816800,14.4449996948242
2013-11-15,14.4200000762939,14.4200000762939,14.1575002670288,14.2425003051758,1622000,14.2425003051758
2013-11-18,14.2550001144409,14.4350004196167,14.1424999237061,14.3924999237061,2247600,14.3924999237061
2013-11-19,14.4875001907349,14.5424995422363,14.3225002288818,14.4375,2028800,14.4375
2013-11-20,14.4549999237061,14.5799999237061,14.3100004196167,14.3325004577637,2251200,14.3325004577637
2013-11-21,14.3149995803833,14.3625001907349,14.0100002288818,14.2799997329712,3041600,14.2799997329712
2013-11-22,14.3225002288818,14.6450004577637,14.2524995803833,14.6324996948242,1685600,14.6324996948242
2013-11-25,14.6899995803833,14.9575004577637,14.5874996185303,14.8575000762939,2527200,14.8575000762939
2013-11-26,14.8800001144409,14.9624996185303,14.7749996185303,14.8850002288818,2248400,14.8850002288818
2013-11-27,14.9300003051758,14.9799995422363,14.8275003433228,14.9375,934000,14.9375
2013-11-29,14.9499998092651,15.0200004577637,14.8874998092651,14.9324998855591,518400,14.9324998855591
2013-12-02,14.8924999237061,15.0775003433228,14.8424997329712,15.0050001144409,1277600,15.0050001144409
2013-12-03,14.9375,15.3125,14.8500003814697,15.2849998474121,2547200,15.2849998474121
2013-12-04,15.2524995803833,15.5325002670288,15.1125001907349,15.2325000762939,2561600,15.2325000762939
2013-12-05,15.210000038147,15.2425003051758,14.9624996185303,14.9925003051758,1300400,14.9925003051758
