"Fecha","COO.Open","COO.High","COO.Low","COO.Close","COO.Volume","COO.Adjusted"
2013-11-01,129.440002441406,130.509994506836,127.529998779297,128.350006103516,206400,128.015289306641
2013-11-04,128.25,129.179992675781,127.330001831055,129.050003051758,203800,128.713439941406
2013-11-05,126.470001220703,129.110000610352,126.470001220703,128.490005493164,224200,128.154937744141
2013-11-06,129.240005493164,129.240005493164,127.709999084473,127.879997253418,178100,127.546516418457
2013-11-07,128.279998779297,129.039993286133,125.639999389648,125.720001220703,179600,125.392150878906
2013-11-08,125.669998168945,127.580001831055,125.480003356934,127.069999694824,129500,126.738624572754
2013-11-11,127.389999389648,128.490005493164,126.709999084473,127.160003662109,158300,126.828407287598
2013-11-12,127.019996643066,128.110000610352,126.040000915527,127.849998474121,99400,127.516578674316
2013-11-13,127.110000610352,128.820007324219,127.110000610352,127.599998474121,222800,127.267242431641
2013-11-14,127.629997253418,128.490005493164,126.48999786377,126.980003356934,248800,126.648872375488
2013-11-15,126.699996948242,129.410003662109,126.51000213623,129.350006103516,184600,129.012725830078
2013-11-18,129.229995727539,129.270004272461,127.230003356934,128,229700,127.666206359863
2013-11-19,127.75,128.559997558594,127.330001831055,127.959999084473,174600,127.62629699707
2013-11-20,127.959999084473,129.210006713867,127.699996948242,128,162500,127.666206359863
2013-11-21,128.460006713867,132.229995727539,128.460006713867,132.220001220703,321600,131.875198364258
2013-11-22,132.490005493164,134.470001220703,131.869995117188,133.610000610352,410200,133.26155090332
2013-11-25,133.559997558594,133.970001220703,132.600006103516,132.830001831055,243800,132.483596801758
2013-11-26,132.559997558594,132.809997558594,130.600006103516,130.639999389648,309300,130.29931640625
2013-11-27,130.720001220703,131.869995117188,129.990005493164,131.789993286133,460400,131.446334838867
2013-11-29,132.119995117188,133.419998168945,131.449996948242,131.740005493164,91500,131.396453857422
2013-12-02,131.639999389648,132.720001220703,130.679992675781,132.259994506836,231400,131.915115356445
2013-12-03,131.399993896484,133.059997558594,130.419998168945,132.789993286133,433000,132.443710327148
2013-12-04,133.520004272461,133.520004272461,130.639999389648,131.880004882812,218100,131.536087036133
2013-12-05,134.380004882812,135,132.190002441406,133.729995727539,367900,133.381256103516
2013-12-06,126.669998168945,127.400001525879,125.019996643066,125.76000213623,1923900,125.432052612305
2013-12-09,125.339996337891,126.860000610352,125.099998474121,126.580001831055,544800,126.249900817871
2013-12-10,126.059997558594,127.169998168945,123.680000305176,123.73999786377,710700,123.41731262207
2013-12-11,123.080001831055,124.400001525879,119.599998474121,119.889999389648,912100,119.577339172363
2013-12-12,119.559997558594,121.330001831055,118.580001831055,119.529998779297,1140300,119.218299865723
2013-12-13,119.639999389648,124.230003356934,119.639999389648,121.209999084473,1105500,120.893898010254
2013-12-16,120.839996337891,122.069999694824,120.419998168945,120.559997558594,511700,120.24560546875
2013-12-17,120.339996337891,123.529998779297,119.309997558594,122.139999389648,753800,121.821487426758
2013-12-18,122.930000305176,123.870002746582,119.900001525879,121.430000305176,786400,121.113327026367
2013-12-19,121.129997253418,122.889999389648,121.019996643066,122.599998474121,705000,122.280288696289
2013-12-20,122.620002746582,127,122.519996643066,127,1084900,126.668823242188
2013-12-23,126.930000305176,128.050003051758,125.48999786377,126.089996337891,495600,125.761169433594
2013-12-24,126.230003356934,127.190002441406,125.559997558594,126.660003662109,224900,126.329704284668
