"Fecha","DG.Open","DG.High","DG.Low","DG.Close","DG.Volume","DG.Adjusted"
2013-11-01,57.8300018310547,58.1399993896484,57.5,57.7700004577637,2128200,52.5550079345703
2013-11-04,57.9900016784668,58.2299995422363,57.4700012207031,57.5299987792969,2516900,52.3366775512695
2013-11-05,57.4099998474121,58.4000015258789,57.2000007629395,58.1100006103516,2864800,52.864330291748
2013-11-06,58.1100006103516,58.5900001525879,57.8899993896484,58.0099983215332,1629700,52.7733535766602
2013-11-07,58.0900001525879,58.5900001525879,56.9500007629395,57.2200012207031,2247800,52.0546684265137
2013-11-08,57.189998626709,57.4099998474121,56.810001373291,57.2799987792969,1922000,52.1092529296875
2013-11-11,57.3300018310547,58.2900009155273,57.25,58.0099983215332,1931900,52.7733535766602
2013-11-12,58,58.5099983215332,57.8300018310547,58.4700012207031,1893000,53.1918144226074
2013-11-13,58.3400001525879,59.2999992370605,58.2099990844727,59.2400016784668,2135600,53.8923110961914
2013-11-14,59.0999984741211,59.5099983215332,58.5800018310547,59.4900016784668,2001800,54.1197509765625
2013-11-15,59.2200012207031,59.5,58.560001373291,59.2599983215332,3503000,53.9104957580566
2013-11-18,59.439998626709,59.560001373291,58.6399993896484,58.8800010681152,2138400,53.5648193359375
2013-11-19,58.7900009155273,59.5,58.5800018310547,58.7000007629395,3074000,53.401065826416
2013-11-20,58.8300018310547,59.1199989318848,58.1300010681152,58.3300018310547,3886600,53.0644645690918
2013-11-21,56.9900016784668,58.0499992370605,56.8899993896484,57.939998626709,4438800,52.7096633911133
2013-11-22,58.1399993896484,58.5,57.8300018310547,58.4000015258789,2240600,53.1281318664551
2013-11-25,58.7299995422363,58.7999992370605,58.2599983215332,58.4900016784668,1541600,53.210018157959
2013-11-26,58.8699989318848,59,57.8499984741211,58.7900009155273,4505500,53.4829406738281
2013-11-27,58.7799987792969,58.7799987792969,57.2999992370605,57.3499984741211,5347500,52.1729278564453
2013-11-29,57.5299987792969,57.7400016784668,56.9199981689453,56.939998626709,1695000,51.799934387207
2013-12-02,56.9099998474121,56.9099998474121,56.1300010681152,56.2900009155273,3909400,51.2086181640625
2013-12-03,56.2700004577637,56.6100006103516,56.0299987792969,56.4799995422363,2757400,51.381462097168
2013-12-04,56.0299987792969,56.6199989318848,55.560001373291,56.3699989318848,5009800,51.2814025878906
2013-12-05,58.310001373291,60.25,58.25,59.810001373291,11012700,54.4108619689941
2013-12-06,60.560001373291,61.0800018310547,59.6100006103516,60.2000007629395,6493500,54.7656517028809
2013-12-09,60.1699981689453,61.2000007629395,60.1699981689453,61.0800018310547,5138000,55.5662155151367
2013-12-10,60.9500007629395,61.3199996948242,60.4199981689453,60.7400016784668,2634200,55.2568969726562
